x.pos,y.pos,year,month,day,Depth,TNO,survey,transect,area,Nhat,yearmonth,impact
392441.61,6182143.98,2005,11,19,26.76,101,1,1,0.713176,0,200511,0
392405.28,6181709.13,2005,11,19,26.94,101,1,1,0.956,0,200511,0
392397.7,6181209.21,2005,11,19,27.09,101,1,1,0.956,0,200511,0
392409.94,6180709.37,2005,11,19,27.19,101,1,1,0.956,0,200511,0
392433.15,6180210.01,2005,11,19,27.24,101,1,1,0.956,0,200511,0
392445.24,6179710.32,2005,11,19,27.26,101,1,1,0.956,0,200511,0
392425.87,6179210.73,2005,11,19,27.29,101,1,1,0.956,0,200511,0
392410.69,6178711.03,2005,11,19,27.25,101,1,1,0.956,0,200511,0
392402.71,6178211.11,2005,11,19,27.05,101,1,1,0.956,0,200511,0
392375.73,6177711.88,2005,11,19,26.67,101,1,1,0.956,0,200511,0
392351.59,6177212.6,2005,11,19,26.26,101,1,1,0.956,0,200511,0
392355.22,6176712.67,2005,11,19,25.78,101,1,1,0.956,0,200511,0
392357,6176212.87,2005,11,19,25.22,101,1,1,0.956,0,200511,0
392385.05,6175713.76,2005,11,19,24.48,101,1,1,0.956,0,200511,0
392412.48,6175214.53,2005,11,19,24.32,101,1,1,0.956,0,200511,0
392428.23,6174714.85,2005,11,19,24.96,101,1,1,0.956,0,200511,0
392413.21,6174215.21,2005,11,19,25.46,101,1,1,0.956,0,200511,0
392371.8,6173717.02,2005,11,19,25.92,101,1,1,0.956,0,200511,0
392350.88,6173217.69,2005,11,19,26.32,101,1,1,0.956,0,200511,0
392362.89,6172717.87,2005,11,19,26.66,101,1,1,0.956,0,200511,0
392366.59,6172217.93,2005,11,19,26.96,101,1,1,0.956,0,200511,0
392344.72,6171718.47,2005,11,19,27.21,101,1,1,0.956,0,200511,0
392310.79,6171219.63,2005,11,19,27.34,101,1,1,0.956,0,200511,0
392270.14,6170721.37,2005,11,19,27.34,101,1,1,0.956,0,200511,0
392266.96,6170221.71,2005,11,19,27.29,101,1,1,0.956,0,200511,0
392301.13,6169723.09,2005,11,19,27.26,101,1,1,0.956,0,200511,0
392318.36,6169223.43,2005,11,19,27.41,101,1,1,0.956,0,200511,0
392323.56,6168723.5,2005,11,19,27.6,101,1,1,0.956,0,200511,0
392310.94,6168223.68,2005,11,19,27.87,101,1,1,0.956,0,200511,0
392299.54,6167723.9,2005,11,19,28.18,101,1,1,0.956,0,200511,0
392312.44,6167224.14,2005,11,19,28.29,101,1,1,0.956,0,200511,0
392350.34,6166725.65,2005,11,19,28.31,101,1,1,0.956,0,200511,0
392381.33,6166226.73,2005,11,19,28.67,101,1,1,0.956,0,200511,0
392424.36,6165728.46,2005,11,19,29.29,101,1,1,0.956,0,200511,0
392483.82,6165232.08,2005,11,19,29.78,101,1,1,0.956,0,200511,0
392520.81,6164733.52,2005,11,19,30.34,101,1,1,0.956,0,200511,0
392521.22,6164233.65,2005,11,19,30.98,101,1,1,0.956,0,200511,0
392520.58,6163733.65,2005,11,19,31.6,101,1,1,0.956,0,200511,0
392530.56,6163233.78,2005,11,19,32.29,101,1,1,0.956,0,200511,0
392515.59,6162734.08,2005,11,19,33.09,101,1,1,0.956,0,200511,0
392499.09,6162234.38,2005,11,19,33.97,101,1,1,0.956,0,200511,0
392492.41,6161734.5,2005,11,19,34.31,101,1,1,0.956,0,200511,0
392500.34,6161234.57,2005,11,19,33.89,101,1,1,0.956,0,200511,0
392499.3,6160734.59,2005,11,19,33.21,101,1,1,0.956,0,200511,0
392501.96,6160234.62,2005,11,19,32.87,101,1,1,0.956,0,200511,0
392502.45,6159734.63,2005,11,19,32.63,101,1,1,0.956,0,200511,0
392488.19,6159234.89,2005,11,19,32.25,101,1,1,0.956,0,200511,0
392451.86,6158736.31,2005,11,19,31.9,101,1,1,0.956,0,200511,0
392388.64,6158240.38,2005,11,19,31.5,101,1,1,0.956,0,200511,0
392326.02,6157744.36,2005,11,19,31.09,101,1,1,0.956,0,200511,0
392291.14,6157245.85,2005,11,19,30.72,101,1,1,0.956,0,200511,0
392305.52,6156746.27,2005,11,19,30.41,101,1,1,0.956,0,200511,0
392328.6,6156246.95,2005,11,19,30.08,101,1,1,0.956,0,200511,0
392375.46,6155749.06,2005,11,19,29.75,101,1,1,0.956,0,200511,0
392386.19,6155249.42,2005,11,19,29.32,101,1,1,0.956,0,200511,0
392407.98,6154750.12,2005,11,19,28.91,101,1,1,0.956,0,200511,0
392431.52,6154250.72,2005,11,19,28.49,101,1,1,0.956,0,200511,0
392450.19,6153751.06,2005,11,19,28.08,101,1,1,0.956,0,200511,0
392481.92,6153252.11,2005,11,19,27.89,101,1,1,0.956,0,200511,0
392515.7,6152753.27,2005,11,19,27.75,101,1,1,0.956,0,200511,0
392535.56,6152253.72,2005,11,19,27.64,101,1,1,0.956,0,200511,0
392536.02,6151753.71,2005,11,19,27.56,101,1,1,0.956,0,200511,0
392536.7,6151253.71,2005,11,19,27.55,101,1,1,0.956,0,200511,0
392535.91,6150753.72,2005,11,19,27.63,101,1,1,0.956,0,200511,0
392525.42,6150253.87,2005,11,19,27.79,101,1,1,0.956,0,200511,0
392519.42,6149754.15,2005,11,19,27.85,101,1,1,0.956,0,200511,0
392535.62,6149254.45,2005,11,19,27.84,101,1,1,0.956,0,200511,0
392541.48,6148754.63,2005,11,19,27.78,101,1,1,0.956,0,200511,0
392555.47,6148254.79,2005,11,19,27.6,101,1,1,0.956,0,200511,0
392554.44,6147754.87,2005,11,19,27.29,101,1,1,0.956,0,200511,0
392533.42,6147255.7,2005,11,19,26.86,101,1,1,0.956,0,200511,0
394553.63,6146822.1,2005,11,19,24.6,102,1,2,0.034416,0,200511,0
394527.07,6147079.55,2005,11,19,24.97,102,1,2,0.956,0,200511,0
394497.75,6147578.63,2005,11,19,26.04,102,1,2,0.956,0,200511,0
394500.16,6148078.51,2005,11,19,27.56,102,1,2,0.956,0,200511,0
394514.78,6148578.28,2005,11,19,27.66,102,1,2,0.956,0,200511,0
394525.47,6149078.15,2005,11,19,27.37,102,1,2,0.956,0,200511,0
394525.4,6149578.13,2005,11,19,27.16,102,1,2,0.956,0,200511,0
394509.92,6150077.86,2005,11,19,27.25,102,1,2,0.956,0,200511,0
394490.31,6150577.35,2005,11,19,27.58,102,1,2,0.956,0,200511,0
